"Rel","Added","Deleted"
"android\app\src\main\assets\public\index.html","3","3"
"android\app\src\main\assets\public\sw.js","1","1"
"android\app\src\main\res\values\strings.xml","2","2"
"android-child\app\src\google-services.json","2","2"
"android-child\app\src\main\AndroidManifest.xml","1","22"
"android-child\app\src\main\java\com\amanah\child\MainActivity.kt","13","293"
"android-child\app\src\main\java\com\amanah\child\receivers\BootCompletedReceiver.kt","0","4"
"android-child\app\src\main\java\com\amanah\child\services\AmanahAccessibilityService.kt","29","516"
"android-child\app\src\main\java\com\amanah\child\services\AppUsageTrackerService.kt","2","47"
"android-child\app\src\main\java\com\amanah\child\services\DeviceHealthReporterService.kt","104","225"
"android-child\app\src\main\java\com\amanah\child\services\RemoteCommandService.kt","26","683"
"android-child\app\src\main\java\com\amanah\child\services\ScreenGuardianService.kt","38","925"
"android-child\app\src\main\java\com\amanah\child\services\TamperDetectionService.kt","3","10"
"android-child\app\src\main\java\com\amanah\child\utils\SecurityCortex.kt","110","2010"
"android-child\app\src\main\res\drawable\ic_shield_logo.xml","19","57"
"android-child\app\src\main\res\layout\activity_main.xml","55","101"
"android-child\app\src\main\res\values\strings.xml","4","3"
"App.tsx","21","61"
"components\AdvisorView.tsx","36","22"
"components\AlertsView.tsx","1","2"
"components\ChainOfCustodyView.tsx","1","2"
"components\ChildAppView.tsx","4","5"
"components\DashboardView.tsx","2","3"
"components\DevicesView.tsx","116","245"
"components\DevLabView.tsx","3","16"
"components\EvidenceVaultView.tsx","26","58"
"components\IncidentsCenterView.tsx","2","2"
"components\LiveMonitorView.tsx","3","4"
"components\NotificationToast.tsx","9","7"
"components\parent\DeviceCommandControl.tsx","34","282"
"components\parent\ParentOpsConsoleView.tsx","2","17"
"components\ProactiveDefenseView.tsx","3","93"
"components\PsychologicalInsightView.tsx","62","923"
"components\SettingsView.tsx","16","295"
"components\SimulatorView.tsx","36","48"
"components\SystemStatusBar.tsx","3","4"
"components\VisualBenchmarkView.tsx","27","513"
"firestore.indexes.json","0","28"
"firestore.rules","4","163"
"nginx.conf","0","2"
"package.json","1","5"
"services\firebaseConfig.ts","1","57"
"services\firestoreService.ts","27","286"
"services\geminiService.ts","5","100"
"services\mockDataService.ts","146","423"
"services\pulseExecutionEvidenceService.ts","6","3"
"services\validationService.ts","0","270"
"tests\services\validationService.test.ts","0","192"
"vite.config.ts","0","3"
